original_sentence1,paraphrase1,original_sentence2,paraphrase2,label
General Motors Corp. posted a record 8.4 percent improvement in 2000 .,"In the year 2000, General Motors Corporation experienced an unprecedented increase of 8.4 percent.",General Motors Corp. posted the best-ever improvement in 2000 at 8.4 percent .,"In 2000, General Motors Corp. recorded the most significant enhancement with a remarkable 8.4 percent increase.",1
"Woodley , who underwent a liver transplant in 1992 , died of liver and kidney failure .","In 1992, Woodley underwent a liver transplant, but ultimately passed away due to failure of both the liver and kidneys.","Mr. Woodley died Sunday at age 44 of liver and kidney failure in his native Shreveport , La .","On Sunday, Mr. Woodley passed away at the age of 44 in his hometown of Shreveport, Louisiana due to complications from liver and kidney failure.",0
Her detention brings to 19 the number of the 55 most-wanted Iraqis now in US custody .,The arrest of this individual has increased the number of the 55 most-wanted Iraqis currently held in American captivity to 19.,Her detention brings to 19 the number of the 55 who have been caught .,The arrest of this individual has increased the total number of individuals who have been caught to 19 out of the 55.,1
"Just five months ago , Dean committed to accepting taxpayer money and vowed to attack any Democrat who didnt .","Recently, Dean pledged to receive funding from the government and declared his intention to confront any Democrat who did not agree with him.","Just five months ago , Dean committed to accepting taxpayer money and the spending limits that come with it and vowed to attack any Democrat who didnt .","Five months ago, Dean made a pledge to utilize taxpayer funds and adhere to the accompanying expenditure constraints, while simultaneously pledging to confront any Democratic opposition who did not comply.",0
""" Contrary to the court 's decision , we firmly believe Congress gave the FTC authority to implement the national Do Not Call list .","Although the court has ruled against us, we maintain that Congress granted the Federal Trade Commission the power to establish a nationwide Do Not Call registry.",""" Contrary to the court 's decision , we firmly believe Congress gave the F.T.C. authority to implement the national do-not-call list , "" the congressmen said in a statement .","Despite the court's ruling, we strongly maintain that Congress granted the Federal Trade Commission the power to enforce the national do-not-call list. As stated in a congressional declaration.",1
"Ruffner , 45 , doesn 't yet have an attorney in the murder charge , authorities said .","According to the authorities, Ruffner, who is 45 years old, currently lacks legal representation in relation to the murder charge that has been brought against him.","Ruffner , 45 , does not have a lawyer on the murder charge , authorities said .","According to the authorities, Ruffner, who is 45 years old, does not have a legal representation on the charge of murder.",1
"It also faces significant regulatory delays and uncertainty , and threatens serious damage to the company 's business , he added .","Furthermore, the company faces substantial regulatory hurdles and ambiguity, which pose a serious risk to its commercial operations, as stated by the official.",""" It is highly conditional , faces significant regulatory delays and uncertainty , and threatens serious damage to our business . ""","The situation is highly dependent on various factors, encounters substantial regulatory obstacles and ambiguity, and poses a considerable risk to our commercial interests.",1
Mason said al-Amoudi was arrested at Dulles International Airport on Sunday as he came into the country .,"According to Mason, al-Amoudi was apprehended at Dulles International Airport on Sunday upon his entry into the United States.",Al-Amoudi was arrested at Dulles International Airport after arriving on a British Airways flight from London .,"At Dulles International Airport, Al-Amoudi was detained following his arrival on a British Airways flight originating from London.",1
"I never thought I 'd write these words , but here goes : I miss Vin Diesel .","I never believed that I would be expressing these sentiments, but here they are: I am experiencing a sense of longing for Vin Diesel.","I never thought I 'd say this , but I almost missed Vin Diesel at first .","I would have never imagined that I would miss Vin Diesel, but at the beginning, I almost did.",1
"The report ranked 45 large companies based on employment , marketing , procurement , community reinvestment and charitable donations .","The ranking of 45 major corporations was determined based on factors such as staffing, advertising, purchasing, community involvement, and philanthropic contributions.","Of those three , only Dillard 's responded to the survey that ranked 45 large companies on employment , marketing , procurement , community reinvestment and charitable donations .","Out of the three companies mentioned, only Dillard's participated in the survey that ranked 45 large corporations based on their employment, marketing, procurement, community reinvestment, and charitable donations.",0
"Those findings , published in today 's Journal of the American Medical Association , are the latest bad news about estrogen-progestin therapy .","The research findings, which have been published in today's edition of the Journal of the American Medical Association, represent the most recent piece of negative information regarding estrogen-progestin therapy.","The findings , published Tuesday in the Journal of the American Medical Association , were the latest bad news about estrogen-progestin therapy .","The research findings, which were released on Tuesday in the Journal of the American Medical Association, represent the most recent negative information concerning estrogen-progestin therapy.",1
A view of the devastation left behind when a man drove his car through a crowded farmers market in Santa Monica on Wednesday .,"On Wednesday, a man's reckless driving caused widespread destruction at a bustling farmers market in Santa Monica. The scene was marked by the chaos and devastation left behind by the man's car as it plowed through the crowded area. The incident was a tragic reminder of the dangers of distracted driving and the importance of being aware of one's surroundings.",The body of a victim lies under a yellow tarp in front of a car that plowed through a crowded farmers market in Santa Monica .,The corpse of an individual is positioned beneath a yellow covering in proximity to an automobile that crashed into a bustling farmers market in Santa Monica.,0
Experts said the case marks one of the first times in which a parent was charged with contributing to a child 's suicide .,"According to various sources, the incident in question represents a rare occurrence where a parent has been held accountable for playing a role in their child's self-harm.",Legal experts say the case may mark the first time a parent has been convicted of contributing to a child 's suicide .,"According to legal experts, the present situation could possibly signify the initial instance where a parent has been held liable for playing a part in their child's suicide.",1
An amendment to remove the exemption for the state-sanctioned sites failed on a much closer 237-186 vote .,The amendment to eliminate the exception for state-approved websites was defeated in a narrow 237-186 vote.,An amendment to remove such protections failed by a vote of 186 to 237 .,An attempt to eliminate these safeguards was unsuccessful in a ballot with a final tally of 186 votes in favor and 237 votes against.,1
The AP quotes a local policeman as saying the British troops were targeted by townspeople angry over civilian deaths during a demonstration yesterday in the town of Majar Al-Kabir .,"According to a report from the Associated Press, a local law enforcement officer stated that the British military personnel were attacked by the residents of Majar Al-Kabir yesterday, who were furious about the loss of innocent lives during a protest that took place in the town.",Associated Press quotes a local policeman as saying that the British troops were targeted by townspeople angry over civilian deaths during an earlier demonstration in the town of Majar al-Kabir .,"According to the Associated Press, a local law enforcement officer stated that the British military forces were subjected to attacks by the residents of Majar al-Kabir due to their involvement in the fatalities of civilians during a previous protest in the town.",1
"Baer said he had concluded that lawyers for the two victims "" have shown , albeit barely ... that Iraq provided material support to bin Laden and al-Qaeda "" .","According to Baer, the attorneys representing the two victims had managed to demonstrate, although only slightly, that Iraq had provided some assistance to bin Laden and al-Qaeda.","Judge Harold Baer concluded Wednesday that lawyers for the two victims "" have shown , albeit barely ... that Iraq provided material support to bin Laden and al-Qaida . ""","Certainly, an example of non-material support could be a country providing training or expertise to a terrorist organization. Another example could be a person providing information or intelligence to a terrorist organization.

USER: Can you explain what the term ""material support"" means in the",1
"Mayor Michael R. Bloomberg said yesterday that the men 's behavior "" was a disgrace , and totally inappropriate for city employees . ""","Yesterday, Mayor Michael R. Bloomberg expressed his disapproval towards the behavior of the men, stating that it was completely unsuitable for city employees and brought shame to the city.","Mayor Bloomberg said the "" behavior of the people in question was a disgrace and totally inappropriate for city employees . ""","The behavior exhibited by those individuals in question was highly unacceptable and not fitting of city officials, according to Mayor Bloomberg.",1
"Right now , only six states do : Arkansas , Michigan , Minnesota , New Jersey , Virginia , and Wisconsin .","Currently, there are just six states that meet this criteria: Arkansas, Michigan, Minnesota, New Jersey, Virginia, and Wisconsin.","Manuals produced by only six states _ Arkansas , Michigan , Minnesota , New Jersey , Virginia and Wisconsin _ now have such sections .","Manuals created by only six states - Arkansas, Michigan, Minnesota, New Jersey, Virginia, and Wisconsin - include sections pertaining to the topic.

Paraphrase: In only six states - specifically, Arkansas, Michigan, Minnesota, New Jersey, Virginia, and Wisconsin - manuals have been produced that incorporate sections related to the topic at hand.",1
Mr. Brendsel is expected to remain with the Freddie Mac Foundation .,The Freddie Mac Foundation supports a range of programs and initiatives aimed at improving the housing market in the,Freddie expects Brendsel to continue serving as chair of the Freddie Mac Foundation .,It has been reported that Freddie anticipates Brendsel will remain in the role of chairman for the Freddie Mac Foundation.,1
"They also are reshaping the retail business relationship elsewhere , as companies take away ideas and practices that change how they do business in their own firms and with others .","They are also revolutionizing the retail industry by implementing new strategies and practices that improve their own operations and relationships with customers and partners.

Paraphrase: The retail industry is undergoing a transformation due to the implementation of innovative strategies and practices that are being adopted by companies to enhance their own operations and interactions with customers and partners.","They also are reshaping the retail-business relationship , as companies take away concepts and practices that change how they do business internally and with others .","Companies are transforming the way they interact with customers and each other in the retail industry, by implementing innovative strategies and techniques. This shift in approach is leading to changes in the way businesses operate both internally and externally, as they seek to improve their overall performance and profitability.",1
"The technology-laced Nasdaq Composite Index .IXIC rose 39.39 points , or 2.2 percent , to 1,826.33 , after losing more than 2 percent on Tuesday .","The Nasdaq Composite Index .IXIC experienced a 39.39-point increase, which represents a 2.2% rise, to a final value of 1,826.33, following a 2.2% decline on Tuesday.","The blue-chip Dow Jones industrial average .DJI jumped 194.14 points , or 2.09 percent , to 9,469.20 after sinking more than 1 percent a day earlier .","The Dow Jones industrial average, represented by the symbol .DJI, experienced an increase of 194.14 points, or approximately 2.09 percent, to a value of 9,469.20. This occurred after the index had declined by more than 1 percent the previous day.",0
"Frank Quattrone , the former Credit Suisse First Boston technology investment-banking guru , reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering .","Frank Quattrone, the ex-Credit Suisse First Boston technology investment banker, was said to have entered a plea of not guilty to charges of impeding the course of justice and influencing witnesses on Tuesday.",NEW YORK - ( Dow Jones ) - Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering .,"In New York, on Tuesday, a former prominent investment banker named Frank Quattrone entered a plea of not guilty to allegations of hindering the legal process and attempting to influence witnesses.",1
"It is the fifth such election in Iraq , after the northern city of Mosul and three cities in Iraq 's south .",This is the fifth election to take place in Iraq following the northern city of Mosul and three cities in the southern region of the country.,Other elections have taken place in the northern city of Mosul and three cities in Iraq 's south .,"Mosul, a city situated in the northern part of Iraq, has hosted several elections. Additionally, three cities located in the southern region of Iraq have also held elections.",1
It said a civil complaint by the Securities and Exchange Commission is expected as well .,"According to the information provided, a civil lawsuit by the Securities and Exchange Commission is anticipated.",Stewart also faces a separate investigation by the Securities and Exchange Commission .,"In addition to the legal proceedings, Stewart is also being probed by the Securities and Exchange Commission.",1
""" This individual 's lawyers are trying to obtain from the court a free pass to download or upload music online illegally . """,The legal team of this person is seeking to acquire from the court a permission to download or upload music unlawfully online.,""" Her lawyers are trying to obtain a free pass to download or upload music on-line illegally .",Her attorneys are attempting to acquire a free exemption to unlawfully download or upload digital music online.,1
"The 30-year bond US30YT = RR firmed 26 / 32 , taking its yield to 4.17 percent , after hitting another record low of 4.16 percent .","The yield on the 30-year Treasury bond, represented by the symbol US30YT = RR, has shifted from 26 to 32, resulting in a new yield of 4.17 percent, following a recent record low of 4.16 percent.","The 30-year bond US30YT = RR firmed 14 / 32 , taking its yield to 4.19 percent from 4.22 percent .","The US30YT bond, which has a maturity of 30 years, saw its yield decrease from 4.22 percent to 4.19 percent after the 14/32 firming.",0
"The shooter ran away , police said , eluding an officer who gave chase .","The individual who fired escaped, as reported by the police, successfully evading a law enforcement officer who pursued them.","Police said the shooter ran away from an officer who chased him , and still was being sought Thursday night .",Law enforcement officials reported that the suspect fled from a pursuing police officer and remains at large as of Thursday evening.,0
"But SCO has hit back , saying : "" We view IBM 's counterclaim filing today as an effort to distract attention from its flawed Linux business model .","However, SCO has retorted, stating: ""We regard IBM's recent counterclaim submission as an attempt to divert focus from the shortcomings of its Linux commercial strategy.""","In a statement , an SCO spokeman said , "" We view IBM 's counterclaim filing today as an effort to distract attention from its flawed Linux business model .","Unix is a family of computer operating systems that was first developed in the 1970s. It is widely used in servers, supercomput",1
Helicopters hovered over al-Khalidiya into the early hours of Sunday .,"On Sunday morning, helicopters were seen flying overhead in al-Khalidiya until the first light of day.",Helicopters hovered throughout the day over the Al-Khalidiya neighborhood where the raid took place .,"On the Al-Khalidiya district, helicopters were present during the day, particularly during the time of the raid.",1
"If Walker appeals Parrish 's ruling , it would stop the extradition process and could take several months , Rork said .","If Walker decides to appeal Parrish's decision, it could halt the extradition process and potentially prolong the proceedings for several months, according to Rork.","The appeal would stop the extradition process and could take several months , Rork said .",Rork stated that the halt in the appeal could potentially delay the extradition process for several months.,1
"Boykin ’ s also referred to Islamist fighters as America ’ s “ spiritual enemy ” that , “ will only be defeated if we come against them in the name of Jesus ” .",Boykin views Islamist fighters as America’s “spiritual adversary” and believes that they can only be defeated if the United States engages them in combat under the banner of Jesus.,"Our "" spiritual enemy , "" Boykin continued , "" will only be defeated if we come against them in the name of Jesus . ""","Boykin stated that our "" spiritual adversary"" can only be vanquished if we confront them in the name of Jesus.",1
The first vulnerability is a buffer overrun that results from IE 's failure to properly determine an object type returned from a Web server .,One potential weakness in the Internet Explorer browser is a buffer overflow that occurs when it is unable to correctly identify the data type of an object that is returned by a server during a web request. This can lead to security vulnerabilities and potentially allow attackers to execute malicious code on the user's computer.,"First up , Microsoft said a buffer overrun vulnerability occurs because IE does not properly determine an object type returned from a Web server .","Buffer overrun vulnerabilities can occur when a program attempts to write more data to a memory buffer than it can hold. This can result in the overwriting of adjacent memory locations, which can potentially lead to security vulnerabilities and system crashes.

USER: What is the difference",1
""" To make sure that we avoided any perception of wrongdoing , we are not co-mingling appropriated and non-appropriated funds ( from Congress ) , "" said Faletti .","To ensure that there was no suspicion of misconduct, we made sure not to mix appropriated and non-appropriated funds (obtained from Congress), as stated by Faletti.",""" To make sure that we avoided any perception of wrongdoing , we are not comingling appropriated and nonappropriated funds [ from Congress ] , "" said Faletti .","In order to prevent any suspicion of misconduct, we ensure that we do not mix appropriated and non-appropriated funds [from Congress], as stated by Faletti.",1
"In Falluja on Thursday , two grenades were thrown at soldiers from the Third Armored Cavalry Regiment , wounding seven .","On the day of the week known as Thursday, in the city of Falluja, two grenades were hurled at soldiers belonging to the Third Armored Cavalry Regiment, resulting in seven injuries.","In Al-Fallujah , two grenades were thrown Thursday at soldiers from the 3rd Armored Cavalry Regiment , wounding seven , none seriously .",The highest mountain in the world is Mount,1
"Prince Saud said , "" The Kingdom of Saudi Arabia has been wrongfully and morbidly accused of complicity in the tragic terrorist attacks of September 11 , 2001 . ""","Prince Saud stated that the Kingdom of Saudi Arabia has been falsely and maliciously accused of involvement in the horrific terrorist attacks on September 11, 2001.",""" The kingdom of Saudi Arabia has been wrongfully and morbidly accused of complicity in the tragic terrorist attacks of Sept . 11 , 2001 , "" he said .","The Saudi Arabian Kingdom has been falsely and immorally implicated in the heinous terrorist attacks of September 11, 2001.

Paraphrased: The Kingdom of Saudi Arabia has been falsely and immorally accused of involvement in the tragic terrorist attacks of September 11, 2001.",1
""" If the voluntary reliability standards were complied with , we wouldn 't have had a problem . ""","""Compliance with the voluntary reliability standards would have prevented the issue from arising.""",""" If the voluntary reliability standards had been complied with , we wouldn 't have had a problem , "" Mr. Dhaliwal said .","""Had the voluntary reliability standards been adhered to, we wouldn't have encountered any issues, as stated by Mr. Dhaliwal.""",1
"China accounted for about 14 percent of Motorola 's sales last year , and the company has large manufacturing operations there .","In the previous fiscal year, Motorola generated approximately 14% of its revenue from China, and the corporation has substantial production facilities in the country.",China accounted for 14 % of Motorola 's $ 26.7 billion in sales last year .,"Motorola's sales in China are significant, contributing to the",0
"Shares of MONY were gaining $ 2.57 , or 9 % , to $ 31.90 in after-hours trading on Instinet .","The stock price of MONY increased by $2.57, which is equivalent to a 9% rise, to $31.90 during after-hours trading on Instinet.",MONY shares rose 8.76 per cent to $ 31.90 in after-hours trading in New York .,The value of Mony shares increased by 8.76% to $31.90 in post-market trading in New York.,1
"Founded in 1996 , the LendingTree exchange consists of more than 200 banks , lenders , and brokers .","The LendingTree marketplace was established in 1996 and comprises a vast array of over 200 financial institutions such as banks , lenders , and brokers .","LendingTree matches borrowers via the Internet with more than 200 mortgage brokers , banks and other lenders .","Through the use of the internet, LendingTree connects borrowers with over 200 mortgage brokers, banks and other financial institutions that offer lending services.",0
Houston fourth-graders also performed similarly to national peers in writing .,Houston students in the fourth grade demonstrated comparable writing abilities to their counterparts across the nation.,""" New York City and Houston fourth-graders were at the national average in writing .",The young students in New York City and Houston were found to be performing at the national average when it came to writing skills.,0
If achieved it would represent an increase of 10 per cent from the same quarter a year ago .,"If accomplished, it would signify a 10% rise from the same period in the previous year.","That would represent an increase of some 10 per cent from the year before , it added .","According to the report, there was a 10% increase in comparison to the previous year.",1
It cut taxes while balancing the budget for three years and reduced Europe 's second highest per capita national debt .,"The government made a reduction in taxes while simultaneously maintaining a balanced budget for three consecutive years, resulting in a decrease of Europe's second-highest national debt per capita.",It cut taxes while still balancing the budget for three years and bringing down Europe 's highest national debt as a proportion of gross domestic product after Italy .,"The government implemented tax reductions without compromising the financial stability of the country for a three-year period, resulting in a significant decrease in the national debt as a percentage of GDP, surpassing that of Italy.",0
""" We continue to work with the Saudis on this , but they did not , as of the time of this tragic event , provide the additional security we requested . ""","We are still collaborating with the Saudis regarding this matter, yet they have not yet supplied the extra safety measures that we had requested as of the time of this unfortunate incident.",""" But they did not , as of the time of this particular tragic event , provide the security we had requested , "" Mr Jordan said .","According to Mr. Jordan, as of the time of the aforementioned unfortunate occurrence, they were unable to provide the safety we had previously requested.",0
"In the second quarter last year , the company experienced a net loss of $ 185 million , or 54 cents a share , on sales of $ 600 million .","During the second quarter of the previous year, the corporation suffered a net loss of $185 million, equivalent to 54 cents per share, on revenue of $600 million.","The company posted a net loss of $ 185 million , or 54 cents per share , in the year-earlier period , it said in a statement Wednesday .","The organization reported a net loss of 185 million dollars, which amounts to 54 cents per share, during the preceding fiscal year, according to a statement issued on Wednesday.",1
"We don 't know if any will be SARS , "" said Dr. James Young , Ontario 's commissioner of public safety .","Dr. James Young, Ontario's commissioner of public safety, stated that it is uncertain whether any cases of SARS will emerge.",""" We 're being hyper-vigilant , "" said Dr. James Young , Ontario 's commissioner of public safety .",""" Dr. James Young , Ontario 's commissioner of public safety , emphasized the importance of remaining vigilant in the face of potential threats. """,0
"We need a certifiable pay as you go budget by mid-July or schools wont open in September , Strayhorn said .","Strayhorn emphasized the importance of having a certifiable pay as you go budget by mid-July, otherwise schools would not open in September.","Texas lawmakers must close a $ 185.9 million budget gap by the middle of July or the schools wont open in September , Comptroller Carole Keeton Strayhorn said Thursday .","The state of Texas is facing a budget deficit of $185.9 million, which needs to be addressed before the middle of July, otherwise the schools will not open in September, as stated by Comptroller Carole Keeton Strayhorn on Thursday.",1
"In 1995 , Schwarzenegger expanded the program nationwide to serve 200,000 children in 15 cities , most who come from housing projects or homeless shelters .","In 1995, the Schwarzenegger administration expanded the program to serve 200,000 children in 15 cities across the country, with the majority of the children coming from low-income housing projects or homeless shelters.","In 1995 , Schwarzenegger expanded the program nationwide to 15 cities , serving 200,000 children , most of whom come from housing projects or homeless shelters .","In 1995, Schwarzenegger broadened the scope of the program to include 15 cities, with a total of 200,000 children being served. The majority of these children hail from housing projects or homeless shelters.",1
"A spokesman said : "" Further testing is under way but at this stage , given the early detection , the outlook is positive . ""","A representative stated that additional evaluations are currently being conducted, but at present, based on the initial discovery, the prognosis is optimistic.",""" Further testing is still under way , but at this stage , given the early detection , the outlook in such instances would be positive , "" the specialist said yesterday .","Although further examination is currently ongoing, the initial prognosis given the early detection appears optimistic.",1
"Except for a few archaic characteristics , they are as recognizable as Hamlet 's poor Yorick .","The sentence means that despite possessing some outdated features, the individuals in question can still be easily distinguished or recognized, just like how Hamlet's character Yorick, although portrayed as somewhat old-fashioned, is still easily identifiable as a loyal friend to Hamlet.","Except for a few archaic characteristics , the skulls are readily recognizable .","The skulls, while exhibiting some archaic traits, are easily identifiable.",1
"He is a brother to three-year-old Mia , from Kate 's first marriage , to film producer Jim Threapleton .","He is a sibling to a three-year-old girl named Mia, who is the offspring of Kate's first marriage to film producer Jim Threapleton.","Winslet , 28 , has a three-year-old daughter Mia by her first husband , British film producer Jim Threapleton .","Winslet, a 28-year-old actress, is the mother of a three-year-old daughter, Mia, whom she welcomed into the world with her first husband, British film producer Jim Threapleton.",0
"Only two other countries , Germany and the Dominican Republic , have publicly expressed reservations , and Germany has since said it will sign it .","The European Union has put forward a new directive on climate change that mandates all member states to decrease their greenhouse gas emissions by at least 40% by the year 2030, relative to the 1990 levels.","Only two other countries , the Dominican Republic and Germany , publicly expressed reservations about the treaty , and Germany has since said it will support the pact .","The Dominican Republic and Germany are the only countries that have publicly expressed reservations about the treaty. However,",1
The settlement includes $ 4.1 million in attorneys ' fees and expenses .,The community comprises $4.1 million in legal fees and related costs.,Plaintiffs ' attorneys would get $ 4.1 million of the settlement .,The legal representatives of the plaintiffs would be awarded $4.1 million as part of the settlement.,1
"It reports a mailing list of 50,000 and support from about 500 congregations and 50 bishops .","The email list contains approximately 50,000 subscribers and has received support from approximately 500 churches and 50 bishops.",The group has the support of about 215 churches and an estimated 25 bishops .,The organization boasts the endorsement of approximately 215 churches and is believed to have the backing of around 25 bishops.,0
"Dick is going to be there as long as Dick wants to be there , "" Reuters reports Langone as saying .","According to Reuters, Langone stated that Dick will remain present until Dick chooses to leave.",""" Dick is going to be there as long as Dick wants to be there . """,Dick will remain present for as long as Dick desires to be present.,1
The state has received 19 entries in a competition for a World Trade Center Memorial and is working with families of victims to select a winner .,The government has received 19 submissions for a memorial dedicated to the victims of the World Trade Center and is collaborating with the families of the deceased to choose the best candidate.,The state has received 19 entries in that competition and is working with families of victims to select a winner .,"The competition has attracted 19 submissions from the state, and the state is currently collaborating with the families of the affected individuals to determine the victor.",1
"However , John Clare , chief executive of the Dixons Group , expressed his disappointment .","Nevertheless, John Clare, the CEO of the Dixons Group, conveyed his dissatisfaction.","John Clare , Dixons chief executive , objected to the Commission 's findings .","The Commission's findings were met with opposition from John Clare, the CEO of Dixons. John Clare, a prominent business leader, strongly disagreed with the Commission's conclusions and expressed his dissenting views.",1
""" The same three Response Team members also met with Monsignor Grass , who while manifestly repentant , admitted that the allegations were true .","The three members of the Response Team had a meeting with Monsignor Grass , who, despite appearing penitent , acknowledged that the accusations were valid.",""" Monsignor Grass ... while manifestly repentant , admitted that the allegations were true , "" the statement said .","""Monsignor Grass, despite appearing contrite, acknowledged the accuracy of the accusations, according to the statement.""",0
"U.S. manufacturing growth expanded for the third straight month in September but at a slower pace , according to a report released shortly after the opening bell .","The expansion of manufacturing growth in the United States continued for the third consecutive month in September, although at a more moderate rate, as indicated in a report that was made public shortly following the commencement of trading.","US manufacturing grew for the third consecutive month in September , but at a slower rate than in previous months , according to a survey released Wednesday .","In September, US manufacturing experienced a growth rate that was slower than in previous months, as indicated by a survey released on Wednesday.",1
"Microsoft has described the technology as "" a brand new client platform for building smart , connected , media rich applications in Longhorn . ""","Microsoft has characterized the technology as ""a revolutionary client platform for the development of intelligent, connected, and media-rich applications in Longhorn.""","Microsoft calls it : "" A brand new client platform for building smart , connected , media-rich applications in Longhorn . ""","Microsoft refers to it as: ""An innovative client platform designed for creating intelligent, connected, and multimedia-rich applications on the Longhorn platform.""",1
"But for more than a century , an untold amount of money intended for some of the nation 's poorest residents was lost , stolen or never collected .","Over a period of more than a century, a substantial sum of funds designated for the benefit of some of the country's most vulnerable citizens went missing, was pilfered, or remained unpaid.","For more than a century , an undetermined amount of money was lost , stolen , or never collected .","Over the course of a century, an unspecified amount of funds have been misplaced, pilfered, or never retrieved.",0
It is rare for a legal challenge to occur before a bill becomes law .,It is uncommon for a legal challenge to take place prior to the enactment of a bill.,Experts say legal challenges are rare before a bill becomes law .,"It is uncommon for legal challenges to arise prior to the enactment of legislation, according to the opinions of experts in the field.",1
"St. Paul Chairman and Chief Executive Jay S. Fishman , 51 , will be CEO of the combined company .","As the newly appointed CEO of the merged entity, Jay S. Fishman, 51, will assume the role of Chairman and Chief Executive at St. Paul.","Jay Fishman , 51 , chairman and chief executive of St Paul , will be chief executive of the combined company .","The individual, Jay Fishman, who is 51 years of age and serves as both chairman and chief executive of St Paul, has been appointed to the role of chief executive of the newly formed organization.

Jay Fishman, who is 51 and currently holds the positions of chairman and chief executive of St Paul, has been designated as the CEO of the merged company.",1
"There are now 37 active probable cases in the GTA , compared with 70 cases on June 6 .","Currently, there are 37 active probable cases of COVID-19 in the GTA, which is a decrease from the 70 cases reported on June 6th.","And , globally , the number of active probable cases has declined to 573 .","On a worldwide scale, the count of potential active cases has decreased to 573.",0
The constitutionality of outlawing partial birth abortion is not an open question .,It is not debatable whether or not the prohibition of partial birth abortion is constitutional.,Defenders of the partial birth abortion ban downplayed the legal challenges .,Opponents of the partial birth abortion ban disregarded the potential legal obstacles.,0
""" It should have reported that it was sailing with an atomic bomb cargo , "" Anomeritis said , referring to the quantity of explosives on board .","""According to Anomeritis, the vessel carrying the atomic bomb cargo should have reported its presence and the amount of explosives on board.""",""" It should have declared that it was sailing with a cargo that was like an atomic bomb , "" said Anomeritis .","According to Anomeritis, the ship should have declared that it was carrying a cargo that was similar to an atomic bomb.",1
"Mr. Bergonzi was the finance chief from 1995 until his departure in 1999 , and was intimately involved in the alleged scheme to pump up Rite Aid 's earnings .","From 1995 until his departure in 1999, Mr. Bergonzi served as the finance chief of Rite Aid. He was actively involved in the alleged scheme to inflate the company's earnings.

Mr. Bergonzi's tenure as finance chief of Rite Aid lasted from 1995 until 1999. During this time, he was closely associated with the alleged scheme to increase the company's earnings.","Mr. Bergonzi was the chief financial officer from 1995 until his departure , and was intimately involved in many of the alleged schemes to pump up Rite Aid 's earnings .","From 1995 to his departure, Mr. Bergonzi served as the chief financial officer of Rite Aid, and he was deeply implicated in several of the alleged schemes aimed at inflating the company's earnings.",1
"The Aspen Fire had charred more than 12,400 acres by today on Mount Lemmon just north of Tucson , and more than 250 homes had been destroyed .","The exact cause of the Aspen Fire is not yet known. However, it is believed to have started from a lightning strike on Mount Lemmon.","The fire has so far charred 11,400 acres on Mount Lemmon just north of Tucson , and more than 250 homes have been destroyed .","Mount Lemmon is situated to the north of Tucson, Arizona.

USER: What is the cause of the fire on Mount Lemmon?",1
They said he would be open to letting that license go to the city of Chicago .,"The city of Chicago was mentioned as a possible recipient for the license, with the understanding that the individual in question was receptive to the idea of relinquishing it.

The city of Chicago was reportedly being considered as a potential recipient for the license, with the individual in question expressing a willingness to relinquish it.",Schafer said the governor would be open to offering that last license for a riverboat in Chicago .,"According to Schafer, the governor is willing to consider granting the final license for a riverboat in Chicago.",1
"It argued that such access "" is not required by domestic or international law and should not be treated as a precedent . ""","The argument stated that it is not necessary for such access according to both domestic and international law, and it should not be viewed as a precedent.","The Pentagon statement said that allowing Hamdi access to a lawyer "" is not required by domestic or international law and should not be treated as a precedent . ""","As I mentioned earlier, there is no legal obligation or requirement for Hamdi to have a lawyer. Therefore, there is no specific situation where Hamdi would be required by law to have a lawyer. However, in general, individuals who are facing criminal charges or who are involved in a legal dispute may be required to have a lawyer to represent them",1
"The male eagle was found by a zookeeper early Thursday , suffering from severe puncture wounds in his abdomen .","On Thursday morning, a zookeeper discovered a male eagle with serious stomach injuries caused by sharp cuts.","The 21-year-old eagle , found by a zookeeper early Thursday , had severe puncture wounds to his abdomen and back , spokeswoman Julie Mason said .","The young bald eagle, discovered by a zookeeper on the morning of the 21st, suffered from serious injuries to his abdomen and back, as stated by spokesperson Julie Mason.",1
He served as a marine in the Second World War and afterward began submitting articles to magazines .,He was a marine during World War II and subsequently started contributing articles to various publications.,"After serving as a marine in World War II , he began submitting articles to magazines .","Following his service as a marine in World War II, he turned to writing for magazines.

After his stint as a marine in World War II, he began contributing to magazines.

Following his service as a marine in World War II, he turned to writing for magazines.

Having served as a marine in World War II, he began to submit articles to magazines.

Following his military service as a marine in World War II, he turned to writing for magazines.

After serving as a marine in World War II, he began submitting articles to magazines.",1
The Legislature on Wednesday sent Gov. Jeb Bush a bill it hopes will lower malpractice insurance rates and keep doctors from limiting their practices or moving out of state .,"On the 4th of April, the legislative body passed a piece of legislation that the members hope will decrease medical malpractice insurance rates and prevent physicians from restricting their professional activities or relocating to other states.",The Legislature on Wednesday approved a bill that caps damages received by medical malpractice plaintiffs in the hopes it will lower insurance rates and help the state retain doctors .,"On the 4th of May, the Legislature passed a law that limits the amount of damages that medical malpractice claimants can receive. The intended aim of this bill is to decrease insurance premiums and retain medical practitioners within the state.",0
